2.063499927520751953e+00,1.810000038146972656e+01,8.792119979858398438e+00,7.059999847412109375e+01,1.715999984741210938e+01,2.020000076293945312e+01
2.399899959564208984e+00,9.689999580383300781e+00,1.778299957513809204e-01,7.350000000000000000e+01,1.510000038146972656e+01,1.920000076293945312e+01
2.452699899673461914e+00,1.810000038146972656e+01,8.248089790344238281e+00,9.930000305175781250e+01,1.673999977111816406e+01,2.020000076293945312e+01
2.597500085830688477e+00,1.810000038146972656e+01,4.812129974365234375e+00,9.000000000000000000e+01,1.642000007629394531e+01,2.020000076293945312e+01
2.640300035476684570e+00,9.899999618530273438e+00,7.904099822044372559e-01,5.279999923706054688e+01,5.980000019073486328e+00,1.839999961853027344e+01
3.132299900054931641e+00,4.050000190734863281e+00,6.663999706506729126e-02,3.309999847412109375e+01,5.329999923706054688e+00,1.660000038146972656e+01
1.358000040054321289e+00,1.810000038146972656e+01,9.823490142822265625e+00,9.880000305175781250e+01,2.123999977111816406e+01,2.020000076293945312e+01
2.295500040054321289e+00,1.810000038146972656e+01,3.836839914321899414e+00,9.109999847412109375e+01,1.418999958038330078e+01,2.020000076293945312e+01
7.317200183868408203e+00,5.320000171661376953e+00,4.297000169754028320e-02,2.289999961853027344e+01,9.510000228881835938e+00,1.660000038146972656e+01
6.465400218963623047e+00,3.779999971389770508e+00,3.048999980092048645e-02,2.810000038146972656e+01,4.610000133514404297e+00,1.760000038146972656e+01
1.129600048065185547e+00,1.810000038146972656e+01,8.267250061035156250e+00,8.959999847412109375e+01,8.880000114440917969e+00,2.020000076293945312e+01
1.633399963378906250e+00,1.810000038146972656e+01,7.672019958496093750e+00,9.890000152587890625e+01,1.992000007629394531e+01,2.020000076293945312e+01
1.316300034523010254e+00,1.810000038146972656e+01,1.960910034179687500e+01,9.790000152587890625e+01,1.343999958038330078e+01,2.020000076293945312e+01
1.979900002479553223e+00,2.188999938964843750e+01,8.812500238418579102e-01,9.469999694824218750e+01,1.834000015258789062e+01,2.120000076293945312e+01
4.453400135040283203e+00,8.140000343322753906e+00,9.557700157165527344e-01,8.880000305175781250e+01,1.728000068664550781e+01,2.100000000000000000e+01
4.428999900817871094e+00,6.960000038146972656e+00,2.991600036621093750e-01,4.209999847412109375e+01,1.300000000000000000e+01,1.860000038146972656e+01
3.976900100708007812e+00,8.140000343322753906e+00,1.232470035552978516e+00,9.169999694824218750e+01,1.871999931335449219e+01,2.100000000000000000e+01
2.002599954605102539e+00,1.810000038146972656e+01,1.442080020904541016e+01,9.330000305175781250e+01,1.804999923706054688e+01,2.020000076293945312e+01
3.048000097274780273e+00,6.199999809265136719e+00,4.077099859714508057e-01,9.130000305175781250e+01,2.145999908447265625e+01,1.739999961853027344e+01
3.991699934005737305e+00,1.810000038146972656e+01,3.673670053482055664e+00,5.190000152587890625e+01,1.057999992370605469e+01,2.020000076293945312e+01
5.287300109863281250e+00,1.081000041961669922e+01,8.826000243425369263e-02,6.599999904632568359e+00,6.719999790191650391e+00,1.920000076293945312e+01
